Origin,Destination,dist_da_t_op,time_da_t_op,toll_op,hbw_lo_pk,hbw_med_pk,hbw_hi_pk,hbc_hi_op,hbs_hi_op,hbo_hi_op,nhb_hi_op
73,169,36,43.2,0.583,-4.087,-2.335,-1.717,-1.121,-0.589,-0.989,-1.557
73,170,27.2,34.4,0.583,-3.429,-1.978,-1.48,-0.842,-0.341,-0.694,-1.214
73,171,20,30.8,0.278,-2.498,-1.489,-1.139,-0.628,-0.081,-0.459,-0.811
73,172,18.8,33.6,0,-2.263,-1.369,-1.057,-0.68,-0.053,-0.488,-0.86
73,173,27.3,40,0.333,-3.232,-1.945,-1.497,-0.984,-0.366,-0.803,-1.295
73,174,29.4,37.5,0.583,-3.492,-2.037,-1.535,-0.901,-0.39,-0.764,-1.147
73,175,25.8,32.3,0.583,-3.115,-1.789,-1.334,-0.768,-0.267,-0.622,-1.114
73,176,33.3,44.8,0.583,-4.075,-2.366,-1.776,-1.069,-0.568,-0.921,-1.56
73,177,48.9,63,0.583,-5.932,-3.383,-2.501,-1.621,-1.118,-1.472,-2.328
73,178,42,58.3,0.583,-5.341,-3.111,-2.342,-1.481,-0.978,-1.333,-2.15
73,179,28,39.4,0.583,-3.749,-2.2,-1.668,-0.944,-0.44,-0.796,-1.378
73,180,31.7,46.7,0.515,-4.005,-2.439,-1.892,-1.083,-0.582,-0.936,-1.442
73,181,33.2,50.4,0.583,-4.17,-2.536,-1.967,-1.122,-0.615,-0.972,-1.634
73,182,37.5,56.7,0.438,-4.32,-2.64,-2.047,-1.261,-0.712,-1.08,-1.615
73,183,29.3,42.3,0,-3.834,-2.374,-1.87,-1.072,-0.443,-0.883,-1.462
73,184,21.8,33,0,-2.717,-1.631,-1.254,-0.8,-0.172,-0.609,-1.023
73,185,22.7,30.8,0,-2.682,-1.58,-1.196,-0.783,-0.155,-0.594,-1.028
73,186,27.3,32.9,0,-3.165,-1.811,-1.338,-0.913,-0.284,-0.723,-1.193
73,187,25.9,34.7,0,-3.265,-1.934,-1.459,-0.936,-0.307,-0.768,-1.302
73,188,28.2,37.9,0,-3.467,-2.037,-1.54,-1.028,-0.4,-0.838,-1.3
73,189,38,52.5,0,-4.449,-2.587,-1.943,-1.311,-0.684,-1.125,-1.896
73,190,31.8,42.9,0,-3.824,-2.224,-1.672,-1.123,-0.496,-0.936,-1.36195
73,191,31.8,41.3,0,-3.903,-2.259,-1.689,-1.126,-0.498,-0.939,-1.453
73,192,20.8,26.8,0,-2.368,-1.391,-1.049,-0.702,-0.075,-0.508,-0.92
73,193,53,72.7,0.236,-6.281,-3.748,-2.875,-1.767,-1.261,-1.619,-2.071
73,194,55.8,66,0,-4.58,-2.573,-1.878,-1.312,-0.682,-1.122,-2.632
73,195,45,51.8,0,-5.198,-2.865,-2.057,-1.473,-0.84,-1.283,-1.36195
73,196,54.8,63.9,0,-6.538,-3.614,-2.602,-1.877,-1.247,-1.689,-2.455
73,197,41.6,52.7,0,-4.471,-2.608,-1.958,-1.319,-0.692,-1.131,-1.8
73,198,33.5,38.3,0,-3.93,-2.211,-1.607,-1.089,-0.461,-0.924,-1.522
73,199,60.3,76.1,0.208,-7.494,-4.166,-3.013,-2.065,-1.502,-1.9,-3.044
73,200,53,78,0.583,-4.915,-2.981,-2.292,-1.421,-0.924,-1.287,-2.002
73,201,73.6,105.2,0.583,-9.012,-5.284,-3.999,-2.583,-2.079,-2.434,-3.848
73,202,65.6,95.6,0.583,-8.022,-4.692,-3.543,-2.306,-1.799,-2.159,-3.414
73,203,74.7,103.4,0.389,-8.717,-5.135,-3.9,-2.508,-2.003,-2.359,-1.36195
73,204,80.6,119.8,0.583,-12.195,-6.867,-5.022,-3.459,-2.998,-3.323,-3.707
